Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time
114.00,+17.74%,22.00,24.50,27.00,22.42,-0.48,-2.10%,2,56,0.04,161.94%,Call,02/11/21
115.00,+17.02%,21.10,23.48,25.85,22.90,1.85,+8.79%,1,26,0.04,153.42%,Call,02/11/21
116.00,+16.30%,20.00,22.28,24.55,19.10,1.55,+8.83%,2,13,0.15,141.25%,Call,02/04/21
117.00,+15.58%,19.65,22.05,24.45,17.83,0.48,+2.77%,3,46,0.07,90.43%,Call,02/04/21
118.00,+14.86%,18.00,20.05,22.10,19.50,1.16,+6.32%,1,30,0.03,120.61%,Call,02/12/21
119.00,+14.14%,18.90,20.50,22.10,19.20,0.66,+3.56%,11,88,0.13,139.76%,Call,02/12/21
120.00,+13.41%,18.00,19.00,20.00,17.90,0.03,+0.17%,60,277,0.22,77.58%,Call,02/12/21
121.00,+12.69%,15.20,17.60,20.00,12.95,2.75,+26.96%,1,26,0.04,43.56%,Call,02/03/21
122.00,+11.97%,16.20,17.73,19.25,15.36,2.86,+22.88%,1,25,0.04,93.50%,Call,02/11/21
123.00,+11.25%,13.60,16.05,18.50,14.50,0.67,+4.84%,2,66,0.03,68.98%,Call,02/11/21
124.00,+10.53%,12.00,14.30,16.60,11.43,0.03,+0.26%,1,107,0.01,105.00%,Call,02/08/21
125.00,+9.81%,11.20,13.60,16.00,12.62,0.76,+6.41%,11,380,0.03,34.22%,Call,02/11/21
126.00,+9.08%,10.00,12.18,14.35,12.05,1.59,+15.20%,1,79,0.01,90.45%,Call,02/12/21
127.00,+8.36%,8.50,10.10,11.70,10.47,-0.18,-1.69%,1,124,0.01,39.88%,Call,02/12/21
128.00,+7.64%,8.60,10.38,12.15,10.46,1.28,+13.94%,16,690,0.02,77.14%,Call,02/12/21
129.00,+6.92%,6.50,8.45,10.40,9.50,0.86,+9.95%,2,543,0.00,56.50%,Call,02/12/21
130.00,+6.20%,6.00,7.75,9.50,7.99,-0.13,-1.60%,13,"2,180",0.01,54.66%,Call,02/12/21
131.00,+5.48%,5.00,7.40,9.80,7.35,0.33,+4.70%,10,643,0.02,74.76%,Call,02/12/21
132.00,+4.76%,6.20,6.75,7.30,6.10,0.54,+9.71%,16,"1,231",0.01,27.12%,Call,02/12/21
133.00,+4.03%,3.00,5.18,7.35,5.24,0.17,+3.35%,10,209,0.05,56.94%,Call,02/12/21
134.00,+3.31%,4.20,4.55,4.90,4.70,0.55,+13.25%,68,431,0.16,18.82%,Call,02/12/21
135.00,+2.59%,3.45,3.73,4.00,3.84,0.34,+9.71%,106,"1,309",0.08,19.58%,Call,02/12/21
136.00,+1.87%,1.77,2.84,3.90,3.00,0.19,+6.76%,73,"1,017",0.07,19.02%,Call,02/12/21
137.00,+1.15%,1.20,2.00,2.80,2.07,-0.08,-3.72%,"3,025","3,298",0.92,15.74%,Call,02/12/21
138.00,+0.43%,0.94,1.46,1.99,1.49,0.02,+1.36%,394,798,0.49,16.69%,Call,02/12/21
139.00,-0.30%,0.76,0.88,1.00,0.96,0.11,+12.94%,86,674,0.13,16.35%,Call,02/12/21
140.00,-1.02%,0.24,0.40,0.57,0.50,-0.10,-16.67%,183,562,0.33,14.94%,Call,02/12/21
141.00,-1.74%,0.04,0.25,0.45,0.31,-0.04,-11.43%,78,97,0.80,15.85%,Call,02/12/21
142.00,-2.46%,0.02,0.19,0.35,0.14,-0.04,-22.22%,27,234,0.12,15.28%,Call,02/12/21
143.00,-3.18%,0.04,0.09,0.13,0.05,-0.05,-50.00%,63,177,0.36,14.56%,Call,02/12/21
144.00,-3.90%,0.01,0.12,0.22,0.05,-0.01,-16.67%,3,252,0.01,17.11%,Call,02/12/21
145.00,-4.63%,0.01,0.03,0.06,0.02,-0.03,-60.00%,2,119,0.02,0.00%,Call,02/10/21
146.00,-5.35%,0.01,0.03,0.06,0.02,-0.03,-60.00%,4,"2,027",0.00,0.00%,Call,02/11/21
147.00,-6.07%,0.01,0.13,0.24,0.01,-0.05,-83.33%,3,41,0.07,0.00%,Call,02/03/21
148.00,-6.79%,0.01,0.13,0.24,0.01,-0.02,-66.67%,12,14,0.86,0.00%,Call,02/01/21
149.00,-7.51%,0.01,0.13,0.24,0.13,0.03,+30.00%,1,1,1.00,0.00%,Call,01/29/21
150.00,-8.23%,0.01,0.07,0.13,0.17,0.04,+30.77%,3,29,0.10,0.00%,Call,02/03/21
155.00,-11.84%,0.01,0.12,0.23,0.09,0.07,+350.00%,1,7,0.14,0.00%,Call,02/01/21
160.00,-15.45%,0.00,0.12,0.23,0.04,-0.06,-60.00%,2,3,0.67,0.00%,Call,02/05/21
65.00,-53.10%,0.03,0.07,0.10,0.03,0.01,+50.00%,2,13,0.15,0.00%,Put,02/11/21
70.00,-49.49%,0.01,0.12,0.23,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
75.00,-45.88%,0.01,0.12,0.23,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
80.00,-42.28%,0.02,0.13,0.23,0.06,0.06,unch,1,1,1.00,0.00%,Put,01/14/21
85.00,-38.67%,0.01,0.12,0.23,0.09,0.09,unch,1,1,1.00,0.00%,Put,01/06/21
89.00,-35.78%,0.02,0.13,0.23,0.02,-0.14,-87.50%,6,7,0.86,0.00%,Put,02/01/21
90.00,-35.06%,0.01,0.11,0.21,0.14,0.02,+16.67%,2,4,0.50,0.00%,Put,01/08/21
91.00,-34.34%,0.01,0.12,0.22,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
92.00,-33.62%,0.01,0.12,0.23,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
93.00,-32.90%,0.01,0.12,0.23,0.09,-0.03,-25.00%,1,3,0.33,0.00%,Put,02/01/21
94.00,-32.17%,0.01,0.05,0.09,0.06,-0.21,-77.78%,1,1,1.00,0.00%,Put,02/01/21
95.00,-31.45%,0.01,0.12,0.23,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
